# n     Energy             log10(Δρ)   Diag   Δtime
# ---   ---------------    ---------   ----   ------
  1   -77.57807764118         0.01   120.0    20.0s
  2   -77.73953551104        -0.53   86.9    9.91s
  3   -77.74503766026        -1.60   81.5    8.35s
  4   -77.74508488664        -2.49   35.8    3.54s
  5   -77.74509423833        -3.17   69.5    6.51s
  6   -77.74509490513        -3.87   75.9    6.53s
  7   -77.74509492249        -4.54   74.5    6.64s
  8   -77.74509492303        -5.08   71.8    10.0s
  9   -77.74509492306        -5.69   63.6    9.50s
 10   -77.74509492306        -6.33   72.0    10.4s

