# n     Energy             log10(Δρ)   Diag   Δtime
# ---   ---------------    ---------   ----   ------
  1   -77.57728433145         0.01   10.6    10.2s
  2   -77.73662478259        -0.54    2.4    3.63s
  3   -77.74485369208        -1.49   12.4    3.58s
  4   -77.74506138979        -2.45    1.0    1.19s
  5   -77.74509146911        -2.72    7.5    2.43s
  6   -77.74509387993        -3.07    2.4    1.51s
  7   -77.74509471871        -3.35    3.9    1.87s
  8   -77.74509484870        -3.62    2.6    1.47s
  9   -77.74509490989        -4.10    3.6    1.64s
 10   -77.74509492238        -4.88    4.6    1.91s
 11   -77.74509492291        -4.90    7.2    2.28s
 12   -77.74509492305        -5.61    1.5    1.45s
 13   -77.74509492307        -6.19    5.6    1.91s
