# n     Energy             log10(Δρ)   Diag   Δtime
# ---   ---------------    ---------   ----   ------
  1   -11.54808007548        -0.48   24.5    16.2s
  2   -11.55350709871        -0.95    8.4    3.39s
  3   -11.55448229537        -2.06   16.9    1.29s
  4   -11.55448669875        -3.01   14.9    201ms
  5   -11.55448720928        -3.48   17.0    220ms
  6   -11.55448723344        -4.02   15.0    175ms
  7   -11.55448723485        -4.51   15.5    180ms
  8   -11.55448723507        -5.32   15.0    177ms
  9   -11.55448723508        -5.83   16.0    272ms
 10   -11.55448723509        -6.60   15.5    526ms
