#n     Energy             log10(Δρ)   Diag   Δtime
#---   ---------------    ---------   ----   ------
  1   -11.54800935765        -0.48    8.0    5.71s
  2   -11.55331509155        -0.95    1.0    1.63s
  3   -11.55448005317        -1.99    2.0    638ms
  4   -11.55448642562        -2.89    1.0   51.5ms
  5   -11.55448717725        -3.45    2.1    289ms
  6   -11.55448723206        -3.98    2.0   43.1ms
  7   -11.55448723453        -4.35    1.5   40.6ms
  8   -11.55448723506        -5.20    2.1   43.9ms
  9   -11.55448723508        -5.87    2.0   42.1ms
 10   -11.55448723509        -6.28    2.0   55.8ms
