# n     Energy              log10(Δρ)   Diag   Δtime
# ---   ---------------     ---------   ----   ------
  1   -31.46976074903         -0.40    7.6    9.25s
  2   -31.48084670772         -0.99    3.1    3.14s
  3   -31.48369617526         -2.19    5.5    2.83s
  4   -31.48386048440         -2.56   16.4    3.86s
  5   -31.48386334717         -3.13   13.2    3.29s
  6   -31.48386383337         -3.77    5.0    2.59s
  7   -31.48386390449         -4.39   13.5    3.97s
  8   -31.48386390777         -5.31    4.6    3.32s
  9   -31.48386390785         -5.89    7.2    3.61s
 10   -31.48386390789         -6.55    3.6    2.58s
